X,Y,fid,Hazard,geology,slope,roads,rivers,profile,plan,ndvi,faults,dtm,aspect,icon_url
104.546512279396,21.9902140727,"1","1","27",2.29061,200,4,-0.00638,0,6,200,43,270,./0.png
104.547726683576,21.9889891185008,"2","1","15",4.04469,100,3,0,0,6,200,49,261.8699,./0.png
104.550766136982,21.986342157886,"3","1","15",5.65357,50,5,0.00157,-0.01414,4,200,38,315,./0.png
104.560007478157,21.9791237883273,"4","1","6",6.65173,100,5,0.00437,0.06578,6,200,36,300.96375,./0.png
104.562018748019,21.9769073719327,"5","1","6",5.65357,100,4,0.00157,-0.01414,1,500,44,315,./0.png
104.562880880751,21.9483152836063,"6","1","15",16.82134,200,2,0.00917,0.00853,1,501,54,325.7843,./0.png
104.580859382994,21.9614491064953,"7","1","16",5.71059,50,4,0.00126,-0.08587,6,50,19,306.8699,./0.png
104.583374276164,21.9623044876304,"8","1","38",18.20798,200,2,-0.00156,-0.01334,6,50,47,19.53665,./0.png
104.595924315653,21.9616855603508,"9","1","26",20.24306,200,1,0.00504,0.00082,6,501,50,167.47119,./0.png
104.598194862772,21.9530567847333,"10","1","37",4.04469,50,3,0,0,4,501,29,261.8699,./0.png
104.598281819858,21.9531202196204,"11","1","37",4.04469,50,3,0,0,4,501,29,261.8699,./0.png
104.602597225696,21.9610334935612,"12","1","37",5.17424,50,5,0,0,4,501,22,6.34019,./0.png
104.548408076438,21.985779858096,"13","0","15",16.55834,50,4,-0.00046,0.02217,6,500,53,47.72631,./0.png
104.593964165242,21.9664143888491,"14","0","26",1.81125,500,4,-0.00638,0,0,501,13,251.56505,./0.png
104.616807097464,21.9600481867041,"15","0","22",31.47535,501,1,-0.00178,-0.00597,1,501,172,231.63251,./0.png
104.53974337604,21.9695259445126,"16","0","15",20.14701,200,2,-0.00288,-0.02445,1,501,354,342.5528,./0.png
104.550590681216,21.9828747335941,"17","0","15",3.33711,50,3,-0.00159,-0.19799,6,500,41,149.03624,./0.png
104.564749879503,21.9733820797807,"18","0","16",3.61888,100,1,0.00638,0,6,500,58,198.43495,./0.png
104.635373500373,21.9933506282739,"19","0","5",25.17852,501,1,0,0,1,500,591,178.78113,./0.png
104.563985814499,21.9497896285493,"20","0","15",15.5852,50,2,-0.00449,-0.00456,1,501,50,75.46555,./0.png
104.578664987644,21.9375655904017,"21","0","27",13.51828,100,4,-0.00445,0.02121,1,501,129,45,./0.png
104.58654564647,21.9452154582532,"22","0","6",0,200,4,0,0,0,500,14,,./0.png
104.556209904447,21.9933199867243,"23","0","26",0.81023,200,4,0,0,0,501,16,45,./0.png
104.591115618409,21.9192268702201,"24","0","27",1.14576,100,5,-0.00638,-0.32,6,501,43,270,./0.png
