X,Y,fid,Hazard,geology,slope,roads,rivers,profile,plan,ndvi,faults,dtm,aspect,icon_url
104.629921265441,22.0095772060371,"1","0","22",11.6353,501,3,0,0,1,501,738,209.0546,./0.png
104.538435230175,21.9880890962555,"2","0","15",16.23579,501,5,-0.01721,0.00083,4,501,181,74.0546,./0.png
104.637773065589,22.007201988607,"3","0","22",8.20673,501,6,0.00716,-0.00683,1,501,926,146.30994,./0.png
104.631795524149,22.0062649353737,"4","0","22",11.97673,501,5,0.00428,0.04043,1,500,634,278.1301,./0.png
104.593474598657,21.9757488589852,"5","0","22",19.18026,500,1,0.00022,-0.0195,1,501,155,198.43495,./0.png
104.53681208587,21.9822488703217,"6","0","15",15.5852,100,1,-0.00449,-0.00456,1,50,211,255.46555,./0.png
104.540055795756,21.9697650865607,"7","0","15",7.29772,200,2,0.01256,0,1,501,353,321.34021,./0.png
104.540210501329,21.9761631305527,"8","0","15",12.18153,200,5,-0.00891,-0.01629,1,500,179,103.3925,./0.png
104.59308546927,21.9905590265695,"9","0","22",11.36488,501,1,0.01528,0.04586,4,500,458,95.71059,./0.png
104.539504138664,21.9888184992323,"10","0","15",6.93625,500,3,0.00626,0.10667,1,501,199,9.46232,./0.png
104.637646242697,21.9964269026718,"11","0","22",15.52789,501,1,0.00807,0.03816,1,50,706,329.74356,./0.png
104.538203579109,21.9731605336105,"12","0","15",13.60806,50,4,-0.00667,-0.04632,1,501,211,321.70984,./0.png
104.6665847918,21.9792327780041,"13","0","5",5.41934,501,1,0.01265,0.07155,1,501,1111,198.43495,./0.png
104.648761676758,21.9625058093183,"14","0","22",16.25392,501,2,0.00256,0.03242,1,501,305,22.16634,./0.png
104.535972629741,21.9833461451116,"15","0","15",13.60806,100,2,0.00497,0.00366,6,50,178,321.70984,./0.png
104.656360829077,21.9674988585585,"16","0","22",16.54062,501,3,0.00428,0.02828,1,501,547,225,./0.png
104.625500032452,22.0154256774654,"17","0","22",14.57422,501,1,0.0173,0.09541,1,501,1119,202.61987,./0.png
104.622419078114,21.9806466465609,"18","0","38",16.54062,500,1,0.00143,-0.00566,6,501,198,315,./0.png
104.641645104813,22.0085313487095,"19","0","22",7.42855,501,5,-0.00626,0,1,501,974,184.39871,./0.png
104.583490781271,21.9859052864623,"20","0","22",17.28233,500,2,-0.00855,-0.01131,1,501,143,225,./0.png
104.540200646567,21.9871676537743,"21","0","15",13.60806,500,2,0.00667,0.04632,1,501,238,51.70984,./0.png
104.624419065566,22.0096393916566,"22","0","22",18.5343,501,2,-0.00129,0.00457,1,500,752,162.64597,./0.png
104.609438120333,21.9960211043763,"23","0","38",18.58031,501,2,0.00806,0.03053,1,501,207,210.37912,./0.png
104.63715545362,21.9948835472012,"24","0","22",19.98092,501,1,0.01019,0.01791,1,200,664,211.50427,./0.png
104.593563762958,21.9752424158264,"25","0","22",18.08168,500,1,-0.00297,-0.00916,6,501,135,207.34988,./0.png
104.599167799029,21.9729499557104,"26","0","22",15.79317,500,1,0.00593,0.06698,1,501,164,188.1301,./0.png
104.547493780541,21.9891420146344,"27","1","15",5.87825,100,3,0,0.07155,1,200,46,299.05463,./0.png
104.549160601742,21.9887763048924,"28","1","15",5.41934,50,3,-0.00253,-0.04293,4,200,39,198.43495,./0.png
104.549538601845,21.9518287097727,"29","1","15",11.30993,50,3,-0.00217,-0.02048,4,501,40,323.1301,./0.png
104.553427770006,21.9527334664777,"30","1","15",11.52797,500,3,-0.00718,-0.02534,1,501,59,101.30994,./0.png
104.554381268128,21.9822696976541,"31","1","15",3.61888,50,3,-0.00955,-0.05657,4,200,28,18.43495,./0.png
104.558697015055,21.9801589139079,"32","1","6",3.33711,50,3,-0.00796,-0.08485,6,200,22,30.96376,./0.png
104.561179972505,21.9757129484709,"33","1","16",16.68171,200,2,0.00459,0.02481,1,100,61,25.70995,./0.png
104.561484368804,21.9774930050778,"34","1","6",1.81125,50,4,-0.00638,0,4,500,31,108.43495,./0.png
104.563471800374,21.9513695766268,"35","1","15",11.52797,200,2,0.00602,0.03138,6,501,43,281.30994,./0.png
104.56508031039,21.9541014220546,"36","1","15",14.04702,200,2,0,-0.05333,1,501,65,177.70938,./0.png
104.565738334507,21.9542115434444,"37","1","15",15.5852,200,2,-0.00385,-0.051,6,500,66,165.46555,./0.png
104.569294448645,21.9532454792479,"38","1","15",9.09028,50,3,0.01232,0.08,6,200,32,180,./0.png
104.569858045191,21.9718613179323,"39","1","16",11.44675,500,1,-0.00362,-0.0128,6,100,46,57.09476,./0.png
104.572821654067,21.9716522949819,"40","1","38",1.14576,100,3,0.00638,0.32,1,50,60,270,./0.png
104.574248263563,21.9510727135855,"41","1","27",4.71407,200,2,0,0,6,500,33,284.03625,./0.png
104.58051346072,21.9704438155303,"42","1","38",4.71407,50,2,0,0,4,500,27,165.96375,./0.png
104.582340952593,21.9779447952144,"43","1","37",5.65357,200,3,0.00157,-0.01414,6,501,36,225,./0.png
104.583922035417,21.9637238571316,"44","1","38",10.14211,200,2,0,0,6,500,29,296.56506,./0.png
104.5846065673,21.9647281114532,"45","1","38",4.04469,100,1,0,0,4,500,22,8.1301,./0.png
104.588842241419,21.9396214993083,"46","1","6",10.88808,500,2,0.00822,0.08267,2,501,51,8.97263,./0.png
104.596439823684,21.9677109941352,"47","1","37",3.33711,50,3,-0.00478,-0.14142,4,501,21,149.03624,./0.png
104.59689069402,21.9520420341893,"48","1","37",5.71059,200,3,-0.00126,0.08587,1,501,36,53.1301,./0.png
104.603170919012,21.9496910038143,"49","1","37",10.41737,200,1,-0.00122,0.00716,6,501,49,157.61987,./0.png
104.603823252664,21.9937493654172,"50","1","38",5.87825,50,5,-0.00157,0.01414,4,500,92,150.9454,./0.png
104.613691240849,21.9831967548867,"51","1","38",23.93389,200,3,0.00085,-0.00256,6,200,122,202.52057,./0.png
